condition,date,hour,humidity,pressure,temperature
Clear,1,1,64,30.06,55.0
Clear,1,2,64,30.06,55.0
Clear,1,3,71,30.05,52.0
Clear,1,4,69,30.04,53.1
Clear,1,5,69,30.05,52.0
Clear,1,6,77,30.06,50.0
Clear,1,7,71,30.07,50.0
Clear,1,8,71,30.09,53.1
Clear,1,9,52,30.10,61.0
Clear,1,10,15,30.10,73.9
Clear,1,11,13,30.11,75.9
Clear,1,12,12,30.11,79.0
Clear,1,13,10,30.10,80.1
Clear,1,14,9,30.09,82.0
Clear,1,15,9,30.08,82.9
Clear,1,16,8,30.06,82.0
Clear,1,17,19,30.06,78.1
Clear,1,18,21,30.07,77.0
Clear,1,19,47,30.09,68.0
Clear,1,20,43,30.10,68.0
Clear,1,21,36,30.12,68.0
Clear,1,22,13,30.15,72.0
Clear,1,23,14,30.15,69.1
Clear,1,24,19,30.15,66.0
Overcast,10,1,72,30.01,54.0
Overcast,10,2,75,29.98,54.0
Overcast,10,3,82,29.97,53.6
Scattered Clouds,10,4,86,29.97,53.1
Overcast,10,5,86,29.96,54.0
Mostly Cloudy,10,6,86,29.96,55.0
Mostly Cloudy,10,7,77,29.97,57.0
Light Rain,10,8,81,29.98,57.9
Light Rain,10,9,82,29.99,59.0
Light Rain,10,10,81,30.01,59.0
Light Rain,10,11,87,30.03,57.0
Mostly Cloudy,10,12,72,30.04,60.1
Mostly Cloudy,10,13,62,30.05,60.1
Mostly Cloudy,10,14,48,30.04,62.1
Mostly Cloudy,10,15,54,30.05,61.0
Scattered Clouds,10,16,56,30.04,61.0
Scattered Clouds,10,17,52,30.04,61.0
Scattered Clouds,10,18,49,30.04,60.1
Scattered Clouds,10,19,58,30.04,57.9
Scattered Clouds,10,20,62,30.05,57.0
Scattered Clouds,10,21,62,30.06,57.0
Scattered Clouds,10,22,67,30.07,55.9
Clear,10,23,72,30.08,54.0
Clear,10,24,77,30.09,52.0
Overcast,100,1,67,29.88,63.0
Overcast,100,2,67,29.89,63.0
Overcast,100,3,67,29.89,63.0
Overcast,100,4,67,29.90,63.0
Overcast,100,5,67,29.91,63.0
Overcast,100,6,65,29.92,64.0
Overcast,100,7,65,29.94,64.0
Overcast,100,8,63,29.95,64.9
Overcast,100,9,63,29.96,64.9
Overcast,100,10,61,29.98,66.9
Overcast,100,11,63,29.98,66.9
Mostly Cloudy,100,12,55,29.98,70.0
Mostly Cloudy,100,13,55,29.97,71.1
Partly Cloudy,100,14,50,29.96,73.4
Scattered Clouds,100,15,53,29.95,72.0
Partly Cloudy,100,16,55,29.94,72.0
Partly Cloudy,100,17,57,29.93,71.1
Partly Cloudy,100,18,59,29.92,70.0
Clear,100,19,63,29.93,68.0
Partly Cloudy,100,20,68,29.94,66.9
Mostly Cloudy,100,21,70,29.95,66.0
Haze,100,22,70,29.96,66.0
Haze,100,23,70,29.96,66.0
Haze,100,24,70,29.96,66.0
Overcast,1003,1,74,30.18,55.0
Overcast,1003,2,72,30.20,55.0
Overcast,1003,3,72,30.19,55.0
Overcast,1003,4,77,30.18,54.0
Haze,1003,5,80,30.18,54.0
Light Rain,1003,6,86,30.18,53.1
Light Rain,1003,7,83,30.17,53.1
Mostly Cloudy,1003,8,80,30.18,54.0
Mostly Cloudy,1003,9,75,30.21,55.9
Light Rain,1003,10,78,30.22,57.9
Mostly Cloudy,1003,11,75,30.23,59.0
Mostly Cloudy,1003,12,68,30.19,60.8
Mostly Cloudy,1003,13,63,30.16,63.0
Mostly Cloudy,1003,14,64,30.15,61.0
Mostly Cloudy,1003,15,70,30.13,61.0
Mostly Cloudy,1003,16,75,30.14,59.0
Mostly Cloudy,1003,17,81,30.13,57.9
Mostly Cloudy,1003,18,81,30.13,57.0
Scattered Clouds,1003,19,84,30.14,55.9
Mostly Cloudy,1003,20,84,30.15,55.9
Overcast,1003,21,84,30.16,55.9
Overcast,1003,22,84,30.16,55.9
Overcast,1003,23,84,30.15,55.9
Overcast,1003,24,84,30.14,55.9
Overcast,1004,1,81,30.12,57.0
Overcast,1004,2,81,30.12,57.0
Overcast,1004,3,81,30.11,57.0
